,Job Title,Companies,Location,Date posted,Other information,Job Description,Pay_lower_bound,Pay_upper_bound,Qualifications,Position,Position Level
639,"Data Engineer (Up to S$6k, Leading Tech Giant)",RecruitFirst Pte. Ltd,Central,2021-09-02,"Senior Executive Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree 4 years Full-Time, Contract Computer/Information Technology, IT-Network/Sys/DB Admin, IT-Software 13C6342 13C6342 R1767577 1 - 50 Employees 28 days Human Resources Management / Consulting","✔ Up to S$6k✔ Leading Gaming Giant✔ 12 months (renewable / convertible)Job Scope• Work with business users and data platform team for requirement gathering and process collaboration• Develop data processing pipelines for data modelling, analysis, and reporting from large and complex transaction datasets• Build BI dashboards with Tableau and internal BI tools for data insights and business supportRequirements• Degree in Computer Science or related technical field• 2+ years of working experience in data analysis/data warehouse/mart development and BI reporting• Good understanding of Python, SQL, HiveQL/SparkSQL and the relevant best practices/techniques for perf tuning• Working experience in building BI dashboards with Tableau and other BI tools• Strong analytical and technical skills in building batch/streaming data pipelines for big data*To apply, send your resume to [emailprotected] with reason(s) for leaving past employment, last drawn and expected salary.All applications will be treated with strictest confidentiality. We regret that only shortlisted candidates will be notified. Thank you.RecruitFirst Pte Ltd E.A. 13C6342Joseph Yap Shi Hao (R1767577)",,,"Bachelor's Degree , Diploma , Advanced/Higher/Graduate Diploma , Post Graduate Diploma , Professional Degree , Master's Degree",Senior Executive,"Full-Time , Contract"
640,Epidemiologist (Surveillance) - (345BR),Tan Tock Seng Hospital,Novena,2021-09-08,"Senior Executive Bachelor's Degree, Post Graduate Diploma, Professional Degree Contract Others, Others 199003683N More than 5000 Employees 30 days Healthcare / Medical Dental, Medical, Uniform/ Office Attire, Depending on Job Position Novena","Job SummaryThe Epidemiologist will work closely with the Head of Communicable Diseases Intelligence (CDI), and the analytics team and data engineering team based at the Ministry of Health (MOH), with the support from and in coordination with other professionals based at the National Centre for Infectious Diseases (including clinicians, scientists, epidemiologists and researchers), to develop and drive projects in the field of infectious disease surveillance.Main Duties and ResponsibilitiesWork strategically and coordinate work with doctors, statisticians, data scientists and policy makers to formulate strategies and identify projects to improve infectious disease surveillance systems.Support as well as lead projects from hypotheses generation to design of new surveillance approaches, validation of these approaches and implementation of the validated approaches through: designing and writing protocols for validation and implementation projects, coordinating the conduct of validation and implementation projects, analysing data from validation projects or operational surveillance systems, and writing up reports and making relevant presentations on results of validation or implementation of validated projects.Conduct necessary literature review to identify potential technologies and guide design of new projects.Draft and potentially lead applications for additional project funding to test new approaches where needed.Help build a network of key opinion leaders from local and international partner institutions to strengthen the operational capabilities of the Ministry of Health in the area of infectious disease surveillance.Job RequirementsCandidate must possess at least a goodMaster's Degree, Doctorate (PhD) from a reputable academic institution in Epidemiology, Public health or Data Science.Prior knowledge and work experience in Infectious Diseases will be an advantage.Excellent oral and written communication skills in English.At least 5 years of experience in the public health setting, preferably with direct relevance to infectious diseases.Astute critical thinking skills and ability to quickly learn new techniques.Proficient in at least one statistical software package.Served as lead, senior or corresponding author on scientific publications or technical reports.We regret that only applications submitted through NHG Career Webpage (corp.nhg.com.sg/Careers), TTSH Career Webpage (www.ttshhr.com) and JobStreet Singapore (jobstreet.com.sg) will be considered. If you are accessing this job posting from another website, please visit the official web pages mentioned above.",,,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree",Senior Executive,Contract
641,"Postdoctoral Research Scientist (TSY Lab), IMCB","Agency for Science, Technology and Research (A*STAR)",Singapore,2021-09-02,"Senior Executive Doctorate (PhD) 6 years Full-Time Sciences, Science & Technology T08GB0002C 501 - 1000 Employees 30 days Government / Defence Regular hours, Mondays - Fridays, Casual (e.g. T-shirts)","Major responsibilities as a Postdoctoral Research Scientist in IMCB will include hands-on execution of In vitro &amp; in vivo disease model development, validation and experiments to evaluate compounds for efficacy in various animal models of diseases with clinically-relevant endpoints, especially with experience to handle rodents.Job RequirementsPhD Degree in Biological sciences/Pharmacology or equivalent.6-8 years of experience of either academic/industrial preclinical researchProficiency and hand on experience in cell culture, molecular biology techniquesWorking knowledge and hands on expertise in pre-clinical in vitro/in vivo pharmacology/toxicology assays and should possess solid understanding of pathophysiology of various diseasesWell versed with various techniques of rodent animal handling, drug administration by different routes (IV inj, IP inj, SC Inj, IM inj, oral dosing), anaesthesia, rodent surgical techniques and euthanasia.Familiarity with GLP regulations and ICH/FDA guidelines for the conduct of toxicology studies to support regulatory filings.Broad understanding of FDA &amp; ICH guidelines.Experienced in scientific data compilation, conduct data interpretation, reporting of study results &amp; conclusions, Statistical analysis, Report writing &amp; archiving.Job CompetenciesExcellent communication (written/verbal), interpersonal and leadership skills.Experienced in scientific data compilation, conduct data interpretation, reporting of study results &amp; conclusions, Statistical analysis, Report writing &amp; archiving.Good working knowledge in scientific and statistical software (Graph pad prism 4.0).Good organizational, prioritizing and follow-up skills.Ability to write appropriate and relevant SOP’s and protocolsAbility to handle multiple tasks/projects simultaneously.Ability to maintain high ethical standards of integrity and quality.Ability to work well under pressure, with minimal supervision, and to interact with a variety of clients.The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.",,,Doctorate (PhD),Senior Executive,Full-Time
642,Assistant Manager/Manager (Museum Research & Business Analytics),National Gallery Singapore,Museum,2021-09-10,"Manager Bachelor's Degree, Post Graduate Diploma, Professional Degree, Master's Degree 3 years Full-Time Others, Others 200900977G 201 - 500 Employees 30 days Library/Museum Regular hours, Mondays - Fridays, Business (e.g. Shirts)","Museum ResearchTo support the Gallery’s evidence-based research that articulates the contribution to social impact and new ways of sustainability (Art and Well-being, Learning &amp; Engagement, and Social Impact, amongst others), through excellence in Museum Research.Collaborates with research collaborators and internal stakeholders to define project goals, research design and deliverables and to draft and manage project budgets.Provides research, communication, and data analysis-related to the Gallery and the Visual Arts sector, assisting in understanding the best practices in developing strong data collection and management structures.Business AnalyticsWork closely with internal and external stakeholders to harness qualitative and quantitative data to inform strategy and decision-making.Analyze business data and findings into clear and useful reports and recommendations to inform strategies for the organizational.Perform and support each stage of the qualitative and quantitative research and consultation for the organization including devising and evaluating methods for collecting data, such as surveys, questionnaires, focus groups, and opinion polls market analysis surveys and literature reviews.Monitor and perform industry scans and sector analysis, benchmark and comparative analysis in key business areas in the international and domestic arts and cultural spaces, and provide insights that have potential impact to the museum’s work.Assist in other strategic development activities as required.QualificationsDegree in Social Sciences, Statistics, Business Administration or Economics or in a similar field.More than three years of experience in delivering quantitative research, data analysis, business intelligence, market research or related areas; qualitative research experience is a plusKnowledge of statistical methods and data analysis.Undertake any other duties relevant to the research project such as corresponding with stakeholders and working with other departmentsStrong interpersonal and communication skills and able contribute as a team player with strong collaboration skills.Creative, resourceful, detail-oriented and able to manage multiple projects simultaneously.Fully competent in utilizing research analytics tools (Excel, PPT, Google G Suite); SPSS is a plus.Working knowledge of Microsoft Office Suite and Power BI are essentialWhile this is not a data science role, general understanding of advanced analytics will be an asset, as will previous experience of working alongside data scientists/analysts.Keen interest and knowledge in arts and culture preferred.",,,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree , Master's Degree",Manager,Full-Time
643,"VP/AVP, Big Data Evangelist, (2100008D)",DBS Bank Limited,Singapore,2021-09-02,"Senior Executive Bachelor's Degree, Post Graduate Diploma, Professional Degree 4 years Full-Time Computer/Information Technology, IT-Software 196800306E More than 5000 Employees Banking / Financial Services Medical, Business (e.g. Shirts) Singapore","VP/AVP, Big Data Evangelist, Group Consumer Banking and Big Data Analytics Technology, Technology &amp; Operations - (2100008D)Business FunctionGroup Technology and Operations (T&amp;O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality &amp; control, technology, people capability and innovation. In Group T&amp;O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels.ResponsibilitesAs an evangelist, you will play a key role in democratizing the use and understanding of the Data platform. Your main missions will be:Understand the new features and exciting functionalities developed by the engineering team by collaborating with them and experiencing themMaster a subject and create innovative training content in order to share this knowledge with the usersDevelop presentation, product demos, sample solutions and discussions to help drive awareness and adoptionEngage with partners and customersPatience, proactiveness, eagerness to learn/try and an ability to popularize complex notions will definitively be needed!RequirementsMaster/Bachelor Degree in Computer ScienceExperience in Software Development - Python and Java or otherExperience in giving training to small and wide audienceAnalysis Skills &amp; Critical ThinkingNot afraid of the camera and of the audienceEager to learn and not afraid to tryExcellent verbal and written communication skillsExperience with Data Warehousing/Lake solutionsStrong technical skill in Big Data technologies - Hadoop Ecosystem, Spark, Hive, HBase, Kafka etc.Experience in cloud environment - AWS preferably but GCP is great as wellUnderstanding of AI/ML solutionsApply NowWe offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",,,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree",Senior Executive,Full-Time
644,Assistant Manager / Manager (Data & Systems) - Construction Finance (496889),Marina Bay Sands Pte Ltd,Singapore,2021-09-03,"Manager Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree 5 years Full-Time Computer/Information Technology, IT-Software, Accounting/Finance, Banking/Financial 200507292R More than 5000 Employees Hotel / Hospitality","JOB SCOPEAs Development Finance Data &amp; Systems Assistant Manager/Manager, you will support the Construction Controller in maintaining the key finance systems used by Development Finance.This role will require you to use Structured Query Language (SQL) and to possess advanced proficiency with Microsoft office applications for development, automation, and maintenance of applications in the financial and project management domains.Design, deliver and maintain customized reports by supporting all phases of the automation cycle, including gathering requirements, rules/process design, development testing, user acceptance testing, integration, documentation, and post-deployment maintenance.Identify &amp; implement opportunities for process automation to drive efficiencies and ensure rigor in key finance and reporting processes managed by Development Finance.Manage automation initiatives or system upgrades on behalf of Development Finance team as and when required.JOB REQUIREMENTSDegree in Computer Science/Finance/BusinessMinimum 5-6 years of working experience as data manager, data analyst, systems or database administrator or similar rolesHigh proficiency in SQL and/or Microsoft SQL Server data tools, and experienced in developing customized reports for financial systems such as Infinium or Sage TimberlineKnowledge of financial analysis, capital expenditure process, budgeting, accounting, with background in construction or manufacturing an advantageWell developed organizing, analytical thinking, and problem-solving skills with the capability of successfully managing competing priorities and meeting deadlinesGood written and oral communication, interpersonal and supervision skills, and the ability to communicate with technical and non-technical personnel,Capacity to work with minimal supervision and to collaborate in a team environment.You agree that it is a condition of employment that you adhere to and abide by all rules, regulations, policies and procedures including without limitation the rules of conduct of the Company.",,,"Bachelor's Degree , Diploma , Advanced/Higher/Graduate Diploma , Post Graduate Diploma , Professional Degree",Manager,Full-Time
645,Actuarial Internship,Raffles Health Insurance,Central,2021-09-10,"Non-Executive Bachelor's Degree, Post Graduate Diploma, Professional Degree 1 year Full-Time Sciences, Actuarial/Statistics 198901967K 51 - 200 Employees 20 days Insurance Dental, Miscellaneous allowance, Medical, Regular hours, Mondays - Fridays, Business (e.g. Shirts)","The Actuarial Intern will:Have the opportunity to participate in actuarial related work and data analytics work in Raffles Health InsuranceBe given the exposure to understand the medical related data, ie socioeconomic data of patient, claims data and medical services utilization data along with healthcare trending dataBe required to organize, present and analyze the data and present key stakeholders the business insightSupport in product pricing and valuation reporting in Actuarial department.Have a better understanding of the healthcare and health insurance industry.Job Responsibilities:ReportingDesigning and enabling profitability forecasting by product frameworkEnhancing in-house reserving toolRedefining existing actuarial framework and toolsetAssist in streamlining and developing automated solutions for financial reporting, with understanding of the various Actuarial and Finance processesPricingWork with pricing team members to enhance the functionality of pricing modelStreamline the controls and checkingPrepare user requirements, test plans and perform UAT.Help in various competitor analysis and market study in health insurance industryRequirements:Final Year Students in Actuarial Science, Mathematics, Statistics or other related disciplines that possesses an analytical and quantitative componentExperience in product lines such as life product or health product will be an added advantageStrong analytical skills, attention to details, resourceful and team playerSelf-motivated and well-organised individual to be able to manage full product development and approval cycle independently with support from other teamsAble to commit to 4 months’ contract",,,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree",Not indicated,"Full-Time , Non-Executive"
646,Research Fellow (Law) (R00006646),Nanyang Technological University,Singapore,,"Manager Professional Certificate/NiTEC 3 years Full-Time Sciences, Science & Technology 200604393R More than 5000 Employees 24 days Education Dental, Education support, Medical, Sports (e.g. Gym), Regular hours, Mondays - Fridays, Business (e.g. Shirts) Singapore","The Nanyang Business School (NBS) is recruiting a Legal Research Fellow in the area of data protection law and data privacy.Job ResponsibilitiesAssist in primary legal research on databases such as Lexis-Nexis, HeinOnline etcCollate research materials found, inclusive of preparing summaries of research materials which involves reading and drafting written summaries of regulatory materials, legal judgments, and secondary materialsFormulation and development of data governance structures and frameworksOther research administrative tasksJob RequirementsGraduate of a good law degree, with experience in research and/or in data protection lawStrong communication and interpersonal skillsOrganised and meticulousCapable of following instructions meticulouslyInterested candidates are to include your academic transcript results in your application if you graduated within the last 3 years. We regret to inform that only shortlisted candidates will be notified.",,,"Professional Certificate , NiTEC ",Manager,Full-Time
647,Research Officer (Ref:CMRHJC),National Cancer Centre Singapore Pte Ltd,Outram,2021-09-09,"Junior Executive Bachelor's Degree, Post Graduate Diploma, Professional Degree 1 year Full-Time Sciences, Science & Technology 199801562Z 501 - 1000 Employees 24 days Healthcare / Medical Dental, Medical, Flexi- benefits, uniform and non-uniform, Regular Hours - Mondays to Fridays and Saturdays (half day) 11 Hospital Crescent","A Research Officer position is immediately available at the laboratory of cancer signaling, division of cellular and molecular research, National Cancer Centre Singapore. We are looking for next-generation scientists in cancer research. You will execute biomedical experiments with standard protocols and analyze experimental data under PI’s direction as well as receive research-related trainings from Cancer and Stem Cell Program at Duke-NUS Medical School.Requirements:- Bachelor degree with Honours in biology/biomedical sciences.- Passionate about biomedical research, highly self-motivated.- Able to work independently and as part of the team.- Conscientious and well organized.For further inquiry or application, please refer NCCS career website for the application info:Jiancheng Hu, Ph.D.Principal Investigator/Associate Professor,Division of Cellular &amp; Molecular Research,National Cancer Center of Singapore;Cancer and Stem Cell Program,Duke-NUS Medical School11 Hospital Crescent, Singapore, 169610Tel: 65+63468355(O); 91411150(M)",,,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree",Junior Executive,Full-Time
648,"AVP/Senior Associate, Data Science Analyst - (WD24079)",DBS Bank Limited,Singapore,2021-09-01,"Senior Executive Bachelor's Degree, Post Graduate Diploma, Professional Degree 6 years Full-Time Computer/Information Technology, IT-Software, Sciences, Actuarial/Statistics 196800306E More than 5000 Employees Banking / Financial Services Medical, Business (e.g. Shirts)","AVP/Senior Associate, Data Science Analyst, Consumer Banking Operations, Technology &amp; Operations - (WD24079)Business FunctionGroup Technology and Operations (T&amp;O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality &amp; control, technology, people capability and innovation. In Group T&amp;O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels.Job PurposeAs a Data Science Analyst for Consumer Banking Operations, you will help to design and build scalable analytics solutions through data pipelines, and visualize datasets that empower consumer banking business with actionable analytics in our most strategic transformation. In this complex role, you are expected to be able to perform in multiple roles seamlessly as required viz. Business Analyst, Solution Designer, Developer and Data Scientist.ResponsibilitiesGather, document user requirements, perform exploratory data analysis to understand customer struggles in the journey and create actionable insights through journey analyticsAccess and integrate data from multiple sourcesCreate analytical deep-dives using advanced statistical methods to understand the primary drivers behind customer strugglesDerive business relevant insights within a horizontal organization (working with multiple stakeholders)/Able to understand and solve the business problem by translating into a data model and building insights into an actionable outcomeDesign, develop, test and deploy end to end analytics solutions and models (both data pipeline and visualization)As for visualizations, be able to design user friendly and data efficient outputs in various forms (from operational reports to dashboards aimed at non-analytics users and senior management)Support full lifecycle of experimentation (A/B testing) through journey analytics and machine learning driven insights/Analyze experiment results and identify opportunities for improving experiment uplift; propose new experiment iterations based on the insights from the dataWork with cross-functional teams and able to execute well in a fast-paced and agile environmentBe a self-starter and must exhibit full sense of ownership of the platform you work onRequirementsBachelor’s degree in Computer Science, Information Technology, Information System, Statistics, Engineering, Data Science or related disciplinesMinimum 6 years of relevant work experience in a similar roleExcellent hands-on experience inPython, Pyspark, Spark, SQL/mysql (including query optimization)Hadoop eco-system (Hive, HDFS, Pig etc.) and relational databasesEnd to end data science workflow, starting from data extraction, wrangling, modelling and deployment in production environmentSoftware development, exposure to full development life cycle from requirements gathering to production supportExperience creating real time and rich data visualizations that involves large datasetsExperience manipulating structured and unstructured data sources for analysisA good understanding of machine learning, NLP conceptsExcellent problem solving skills, able to work independently with minimal guidance in a cross-functional context/Able to pick up new methods and techniques quickly and apply towards solving a problem at handAttracted to a fast paced, hypothesis and test driven, collaborative and iterative environmentDetail-oriented with strong organizational, analytical and communication skills, team playerProven ability to roll up your sleeves and contribute quicklyApply NowWe offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",,,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree",Senior Executive,Full-Time
649,Research Fellow (Paleo Sea-level) (R00003739),Nanyang Technological University,Singapore,2021-09-10,"Senior Executive Doctorate (PhD) 5 years Full-Time Sciences, Geology/Geophysics 200604393R More than 5000 Employees 24 days Education Dental, Education support, Medical, Sports (e.g. Gym), Regular hours, Mondays - Fridays, Business (e.g. Shirts)","The Earth Observatory of Singapore (EOS) is seeking Research Fellow position to join the Singapore Government funded South East Asia SEA-level (SEA2) program. This is an international, multi-institutional and trans-disciplinary program that will push scientific frontiers to observe, reconstruct and model the regional processes of sea level from instrumental and proxy data.Job ResponsibilitiesLeading a research project in paleo sea level, in particular reconstructing changes in sea level and land level at multiple time scales over the Holocene, using geological proxy dataWrite manuscripts for publication in peer-reviewed journals based on these findingsWork collaboratively and interactively with the SEA2 teamHelp oversee student research on related projectsJob RequirementsPh.D. in Earth science, environmental science, geology, or a related fieldMinimum 5 years of field-based research experience in geological and/or environmental sciencesStrong expertise in using one or more geological proxies (foraminifera, salt marsh taxa, mangroves, sessile organisms, coral microatolls, etc.) to reconstruct past relative sea levelDemonstrable understanding of potential impacts of tectonics and/or glacial isostatic adjustment on relative sea level would be advantageousProficiency in Adobe® Photoshop®, Adobe® Illustrator®, ArcGIS, and MATLAB® would be advantageousExcellent communication skills, both written and oralDemonstrated ability and enthusiasm for collaborative research, including helping to train studentsStrong record of publication in related topics, including first-author papers published in peer-reviewed journals (at least one of these papers should be in an English-language journal)We regret to inform that only shortlisted candidates will be notified.",,,Doctorate (PhD),Senior Executive,Full-Time
650,Principal Trainer [Central/ Up To $6000] (ID: 528611),PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),Central,2021-09-10,"Non-Executive Bachelor's Degree, Post Graduate Diploma, Professional Degree 3 years Full-Time Computer/Information Technology, IT-Network/Sys/DB Admin 200701282M 01C4394 51 - 200 Employees 27 days Human Resources Management / Consulting","Ouresteemed client is looking for aPrincipal Trainerwho will be responsible for the following primary functions:Responsibilities:• Conceptualize and develop new programs specifically in Big Data / Data Science/Machine Learning / IOT / Cloud computing• Deliver training and certification programs in Big Data / Data Science / Machine Learning / IOT / Cloud Computing.• Develop courseware on a periodic basis in these technologies.Requirements:• Possess an ACLP or ACTA certificate.• Have a Bachelor’s degree in Computer Science or IT.• Has at least 3 years of experience in one of these technologies. Big Data/Data Science, Machine Learning, Cloud Computing (Ubuntu, Oracle Virtual Box, Docker, Jenkins) and IOT (Arduino, Raspberry Pi, Blynk, Mosquitto MQTT, Ubuntu, MQTT Raspberry Pi, RapidMiner).• Candidates should be able to train Python/ R code using frameworks such as Scikit-learn, NumPy, SciPy, R studio etc.• Preferably have some experience in supervised and unsupervised Machine Learning Techniques.• Possess excellent Communication and presentation Skills.Interested candidate who wish to apply for the advertised position, please click on “Apply Now”. Alternatively, you may email us an updated copy of your resume (ATTN: JIAP) for a confidential discussion. We regret that only shortlisted candidates will be notified.Job Code: JIAPEmail Address: [emailprotected]EA License NO.: 01C4394",,,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree",Not indicated,"Full-Time , Non-Executive"
651,Research Fellow (CCB/SR),National University of Singapore,Singapore,2021-09-09,"Entry Level Doctorate (PhD) 1 year Contract Education/Training, Education 200604346E More than 5000 Employees 29 days Education Education support, Medical, Sports (e.g. Gym), Parking, Regular hours, Mondays - Fridays, Formal (e.g. Shirts + Ties), Flexi-benefits Singapore","Job DescriptionThe Duke-NUS Centre for Computational Biology provides a nucleus for expertise in computational biology to study key questions in biomedical research.We are looking for a dynamic Research Fellow with knowledge and research skills in biomedical data science to join the laboratory of Professor Steven Rozen. You will be analysing multi-omics and associated clinical data from cancer patients and developing novel predictive models that help us identify cancer patients at risk of relapse/progression, as well optimize personalized therapeutics. You will be working with genomics data generated from cutting-edge technologies (e.g., single-cell genomics, liquid biopsies etc). This role will provide you with a unique opportunity to apply your expertise in computational biology and machine learning towards developing new bioinformatics pipelines and algorithms through multi-omics data integration.The selected candidate will perform a variety of research activities which include planning, organising and conducting research studies within the overall scope of a research project under the supervision of the Principal Investigator or his/her designate, including but not limited to the following:Analyse genomic and non-genomic datasets generated by various projects aimed at uncovering the genetic basis of cancer biology, especially in Asians.Independently carry out the design and execution of analyses required by the project.Write and review research papers, present research outcomes, conceptualise new ideas and develop plans for independent research which could have a considerable influence and impact on the relevant field attracting research funding.Provide support for external grant/protocol development, study design and management of research activities.Contribute to occasional educational / instructional activities and project management.Provide guidance and mentorship to undergraduate / medical students and research assistants.Ensure optimal progress of participating research projects.Perform other related duties incidental to the work described therein.Job RequirementsPhD in a Computer Science/Biology-related field (e.g., Bioinformatics, Computer Science, Statistics, Computational Biology, Genetics, etc).Strong programming skills (R and/or Python preferred) and prior experience with tools such as RStudio and Jupyter will be valuable.Experience with next generation sequencing data analysis.Demonstrated capability of research independence progressively.Possess strong writing and critical thinking skills, as well as good communication and presentation skills.A team player who is able to prioritise, multi-task and work collaboratively in a diverse workforce.We regret that only shortlisted candidates will be notified.More InformationLocation: Outram CampusOrganization: Duke-NUS Medical SchoolDepartment : Office of ResearchEmployee Referral Eligible: NoJob requisition ID : 7301",,,Doctorate (PhD),Not indicated,Contract
652,Analyst Programmer,Aspial Corporation Limited,Singapore,2021-09-09,"Junior Executive Diploma, Advanced/Higher/Graduate Diploma, Bachelor's Degree, Post Graduate Diploma, Professional Degree 3 years Full-Time Computer/Information Technology, IT-Software 201933824E 501 - 1000 Employees 14 days Retail / Merchandise Dental, Medical, Regular hours, Mondays - Fridays, Business (e.g. Shirts), Training and Staff Purchase Scheme","Job Responsibilities:Reporting to the Software Application Manager or Team Lead, the Analyst Programmer will assist either the Manager or the Systems Analyst to develop/enhance applications that serve different business units in the whole Company. He / she is expected to assist in user requirements, system analysis and design, with more focus on development / programming work. He / she is also required to provide application support and maintenance work to users and develop new applications to meet the Company’s needs.Job Requirements:Recognized Degree/Diploma in Computer Science or Information TechnologyHave at least solid 3 or more years of experience in development work with the understanding of other programming languages such as:Web service integration like JSON, SOAP, XMLVB6, VB.NET, ASP.NET, C#, PHP, C#.Net CoreCrystal Report 10 and aboveSQL Server 2017 and above (Transact-SQL, Stored Procedures, Views, SSIS packages, SSRS reports) as well as PostgreSQLOutsystemsAbility to develop and / or modify and adapt applications and programs to meet individually specified needsStrong analytical and problem-solving skillsStrong interpersonal skills and ability to work effectively with all types of people at all levels of the organization when providing application supportExcellent oral and written communication skillsAbility to work independently with minimum guidanceProactive and a good team player, with a positive working attitude",,,"Bachelor's Degree , Diploma , Advanced/Higher/Graduate Diploma , Post Graduate Diploma , Professional Degree",Junior Executive,Full-Time
653,Senior Manager – Data Platforms – APAC Technology,NEW Asurion Singapore Pte Ltd,Central,2021-09-01,"Senior Manager Bachelor's Degree, Post Graduate Diploma, Professional Degree 9 years Full-Time Computer/Information Technology, IT-Network/Sys/DB Admin 201217148R 51 - 200 Employees 25 days Telecommunication Dental, Medical, Regular hours, Mondays - Fridays, Business (e.g. Shirts), Performance bonus","JOB PURPOSEAPAC IThas built an Enterprise Information Management (EIM) system, One Source of Truth (OSOT) which leverages US ATLAS and comprises of data lakes, data warehouse, data marts and data processing pipelines on a cloud infrastructure. This is now live in Production supporting financial analysts, product performance and operations across all APAC businessesSenior Manager – Data Platforms is responsible for end-to-end ownership of Data Engineering in APAC and will continually work with business stakeholders of OSOT (APAC) and Global (EDP Platform team) to execute new data strategies across various APAC Product suite including Device Protection, Upgrade, Open Market, Trade In and Direct to Consumer.The incoming person is expected to design, execute and introduce the latest data tools to support APACs business needs including data ingestion, data processing, report definition and definition of requirements with business teams. The role requires stakeholder management across many functions (account teams, Finance, CARE and SCM). The person will also be required to work very closely with global IT teams (US EDP, DAX, Security) to ensure data security and compliance as well as managing the delivery of current inflight data projects.Additionally, the person will also be expected to introduce AI and ML technologies to support advanced analytics in Risk, Supply Chain and other direct to consumer Product offeringsKEY ACCOUNTABILITIESParticipate in the design and building of infrastructure (cloud) required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL, Python and ETL tools (Talend)Re Architect OSOT by designing APAC specific Enterprise Data Platform to to deliver cloud-based intelligent systems and build data pipelines, architectures, and data sets from raw, loosely structured data &amp; build processes supporting data transformation, data structures, metadata, dependency and analyze disparate and diverse data assets to automate insights and drive business performanceInterface with the cross-functional teams including Finance, Risk, SCM and Product to design and build data models that provide actionable insights into key business performance metrics, as well as supporting the needs of the commercial teamAdvanced working SQL knowledge and experience working with relational databases, query authoring (SQL), as well as working familiarity with a variety of databases leveraging big data technologiesLeverage cloud-based architectures and technologies to deliver optimized ML models at scaleWorks closely with leaders within data architecture, enterprise architecture, data science/analyst and domain experts, to build and maintain roadmaps against the IT strategyOwn the delivery of a modern data engineering model that follows Dev/Ops principles and standards for continuous integration/ continuous delivery (CI/CD) processesShould be a strategic thinker with holistic vison, specific focus on the identification for the automation of existing manual processes to drive key business performanceParticipate in Project Working groups and assist in tracking the Project Mile Stones and deliverablesQUALIFICATIONS, WORK EXPERIENCES, SKILLSETS AND PERSONAL COMPETENCIESBachelor’s degree required with a master’s degree (or equivalent) in computer science, engineering (all branches), math or a related field preferred.8+ years of experience with public and private cloud solutions, including building and maintaining a data ecosystem that includes an ERP environment8+ years of experience in designing and building data-intensive solutions using distributed computing6+ years of experience in programming with SQL, Python, Scala and JavaExperience with distributed data streaming frameworks like Spark Structured Streaming, Apache Flink, KafkaOLAP system experience (Cubes, MSSQL)Data warehouse usage and optimization experience (RedShift, Hive, Snowflake)Experience building data visualizations or analytics e.g. Power BI, SSRSStrong analytic skills and understanding statistical methodologies.Experience building machine learning modelsAbility to communicate effectively with external clients and internal teams and manage expectationsDemonstrated ability to work as an effective team member, share knowledge and information with the team and help others meet team priorities.Able to work independently &amp; be an effective decision makerGood verbal and written communication and presentation skillsAble to engage with offshore based development and support teams.An effective trouble-shooter - demonstrated ability to analyse problems and develop/recommend solutions.Willingness to learn &amp; adapt based on strategic initiatives in pipeline",4000.0,5600.0,"Bachelor's Degree , Diploma , Post Graduate Diploma , Professional Degree","Manager , Senior Manager",Full-Time
